song_id,artist,title,status,skip_reason
hal-linton__lock-my-heart-down,Hal Linton,Lock My Heart Down,skipped,no_original_lyrics
he-is-we__happily-ever-after,He Is We,Happily Ever After,skipped,no_original_lyrics
hot-chelle-rae__say,Hot Chelle Rae,Say,skipped,no_original_lyrics
hot-chip__colours,Hot Chip,Colours,skipped,no_original_lyrics
hot-chip__colours_2,Hot Chip,Colours,skipped,no_original_lyrics
hot-chip__so-glad-to-see-you,Hot Chip,So Glad To See You,skipped,no_original_lyrics
hot-chip__so-glad-to-see-you_2,Hot Chip,So Glad To See You,skipped,no_original_lyrics
howard-jones__things-can-only-get-better,Howard Jones,Things Can Only Get Better,skipped,no_original_lyrics
i-m-from-barcelona__britney,I'm From Barcelona,Britney,skipped,no_original_lyrics
isabelle-huang__hit-it,Isabelle Huang,Hit It,skipped,no_original_lyrics
j-greco__snatch,J Greco,Snatch,skipped,simlish_original_no_english
jacen-touchstone__glowstick,Jacen Touchstone,Glowstick,skipped,simlish_original_no_english
jacen-touchstone__glowstick-juice,Jacen Touchstone,Glowstick Juice,skipped,simlish_original_no_english
jacen-touchstone__indogoth,Jacen Touchstone,Indogoth,skipped,simlish_original_no_english
jacen-touchstone__tissy-wawa,Jacen Touchstone,Tissy Wawa,skipped,simlish_original_no_english
jacob-plant-featuring-annaca__reach-you,Jacob Plant featuring Annaca,Reach You,skipped,no_original_lyrics
janelle-monae__violet-stars-happy-hunting,Janelle Monáe,Violet Stars Happy Hunting!,skipped,no_original_lyrics
jasmine-villegas-a-k-a-jasmine-v__all-these-boys,Jasmine Villegas (A.K.A Jasmine V),All These Boys,skipped,no_original_lyrics
jason-derulo__don-t-wanna-go-home,Jason Derulo,Don't Wanna Go Home,skipped,no_original_lyrics
jeffery-stott__wiseguy,Jeffery Stott,Wiseguy,skipped,simlish_original_no_english
jem__crazy,Jem,Crazy,skipped,no_original_lyrics
jessi-malay__topsy-turvy,Jessi Malay,Topsy Turvy,skipped,no_original_lyrics
jessica-mauboy-feat-ludacris__saturday-night,Jessica Mauboy feat. Ludacris,Saturday Night,skipped,no_original_lyrics
jimmy-eat-world__movielike,Jimmy Eat World,Movielike,skipped,no_original_lyrics
joanna-j__unthinkable,Joanna J,Unthinkable,skipped,no_original_lyrics
john-cobbett__dee-bamow,John Cobbett,Dee Bamow,skipped,simlish_original_no_english
john-cobbett__gofuork-gofuork,John Cobbett,Gofuork! Gofuork!,skipped,simlish_original_no_english
john-cobbett__melinka,John Cobbett,Melinka,skipped,simlish_original_no_english
john-cobbett__na-na-lae,John Cobbett,Na Na Lae,skipped,simlish_original_no_english
john-cobbett__ze-fron,John Cobbett,Ze Fron,skipped,simlish_original_no_english
john-cobbett__zu-matan,John Cobbett,Zu Matan,skipped,simlish_original_no_english
junkie-xl__live-wired,Junkie XL,Live Wired,skipped,no_original_lyrics
junkie-xl-feat-electrocute__mad-pursuit,Junkie XL feat. Electrocute,Mad Pursuit,skipped,no_original_lyrics
kajagoogoo__too-shy,Kajagoogoo,Too Shy,skipped,no_original_lyrics
katie-melua__lights-go-out,Katie Melua,Lights Go Out,skipped,no_original_lyrics
katy-perry__hot-n-cold,Katy Perry,Hot 'N' Cold,aligned,
katy-perry__last-friday-night,Katy Perry,Last Friday Night,skipped,no_original_lyrics
kelis__brave,Kelis,Brave,skipped,no_original_lyrics
kelly-rowland__rose-colored-glasses,Kelly Rowland,Rose Colored Glasses,skipped,no_original_lyrics
kerli__tea-party,Kerli,Tea Party,skipped,no_original_lyrics
ki-theory__frozen,Ki: Theory,Frozen,skipped,no_original_lyrics
kidz-in-the-hall__flickin,Kidz In The Hall,Flickin',skipped,no_original_lyrics
king-fantastic__all-black-ying-yang-the-party-song,King Fantastic,All Black Ying Yang (The Party Song),skipped,no_original_lyrics
kisha__sowieso,Kisha,Sowieso,aligned,
krezip__can-t-you-be-mine,Krezip,Can't You be Mine,skipped,no_original_lyrics
kristen-dez__come-on-come-on,Kristen Dez,Come On Come On,skipped,no_original_lyrics
la-oreja-de-van-gogh__dulce-locura,La Oreja de Van Gogh,Dulce Locura,skipped,no_original_lyrics
lady-a__need-you-now,Lady A,Need You Now,skipped,no_original_lyrics
ladytron__ghosts,Ladytron,Ghosts,skipped,no_original_lyrics
lara__la-otra-princesa,Lara,La Otra Princesa,skipped,no_original_lyrics
lene-marlin__what-if,Lene Marlin,What If,skipped,no_original_lyrics
lexington-bridge__your-forgiveness,Lexington Bridge,Your Forgiveness,skipped,no_original_lyrics
lily-allen__smile,Lily Allen,Smile,aligned,
lola__mozdulj-mar-move-already,Lola,Mozdulj Már (Move Already),skipped,no_original_lyrics
luke-bryan__country-girl-shake-it-for-me,Luke Bryan,Country Girl (Shake It for Me),aligned,
machine-head__halo,Machine Head,Halo,skipped,no_original_lyrics
madina-lake__let-s-get-outta-here,Madina Lake,Let's Get Outta Here,skipped,no_original_lyrics
manchester-orchestra__i-ve-got-friends,Manchester Orchestra,I've Got Friends,skipped,no_original_lyrics
matmos__lathouse,Matmos,Lathouse,skipped,simlish_original_no_english
matt-kim__daylight,Matt & Kim,Daylight,skipped,no_original_lyrics
metalkpretty__wake-up-wake-up,MeTalkPretty,Wake Up! Wake Up!,skipped,no_original_lyrics
melanie-fiona__bang-bang,Melanie Fiona,Bang Bang,skipped,no_original_lyrics
mike-posner__cooler-than-me,Mike Posner,Cooler Than Me,skipped,no_original_lyrics
murder-by-death__as-long-as-there-is-whiskey-in-the-world,Murder By Death,As Long As There is Whiskey In The World,skipped,no_original_lyrics
music-orange__pop-one,Music Orange,Pop One,skipped,simlish_original_no_english
music-orange__techno-music,Music Orange,Techno Music,skipped,simlish_original_no_english
mxmtoon__prom-dress,Mxmtoon,Prom Dress,skipped,no_original_lyrics
my-chemical-romance__na-na-na,My Chemical Romance,Na Na Na,aligned,
natalie-portman-s-shaved-head__me-yr-daughter,Natalie Portman's Shaved Head,Me + Yr Daughter,skipped,no_original_lyrics
natasha-bedingfield__pocket-full-of-sunshine,Natasha Bedingfield,Pocket Full Of Sunshine,skipped,no_original_lyrics
nelly-furtado__manos-al-aire,Nelly Furtado,Manos Al Aire,skipped,no_original_lyrics
neon-trees__animal,Neon Trees,Animal,skipped,no_original_lyrics
nikki-rich__next-best-thing,Nikki & Rich,Next Best Thing,skipped,no_original_lyrics
ok-go__this-too-shall-pass,OK Go,This Too Shall Pass,skipped,no_original_lyrics
of-monsters-and-men__little-talks,Of Monsters And Men,Little Talks,partial,
old-97-s__early-morning,Old 97's,Early Morning,skipped,no_original_lyrics
overwerk__pressure,Overwerk,Pressure,partial,
parachute__kiss-me-slowly,Parachute,Kiss Me Slowly,skipped,no_original_lyrics
paramore__pressure,Paramore,Pressure,aligned,
patrick-stump__this-city,Patrick Stump,This City,skipped,no_original_lyrics
pixie-lott__mama-do,Pixie Lott,Mama Do,skipped,no_original_lyrics
